Date,Weight,BMI,Body Fat
7/27/2013,71.5,21.5,22.5
7/28/2013,70.6,21.3,22
7/29/2013,70.8,21.4,22.2
7/30/2013,71.5,21.6,22.7
7/31/2013,71.5,21.6,22.7
8/1/2013,70.8,21.4,22.2
8/2/2013,70.8,21.4,22.2
8/3/2013,70.1,21.2,21.1
8/4/2013,69.8,21.1,21.5
8/5/2013,69.4,20.9,21.2
8/6/2013,70.8,21.4,22.4
8/7/2013,70.6,21.3,22
8/8/2013,70,21.1,21.5
8/9/2013,70,21.1,21.6
8/10/2013,70,21.1,21.6
8/11/2013,69.8,21.1,21.4
8/12/2013,69.8,21.1,21.6
8/13/2013,69.7,21,21.4
